|          z_sim |      L_cut__BATSE |      L_cut__Fermi |      L_cut__Swift |       L_cut__CZTI |
|  22.0220298198 | 3.70613882513e+54 | 9.44276106469e+53 | 4.46657710888e+54 | 3.76184735313e+55 |
|  22.1221299099 | 3.77307321023e+54 | 9.55903479142e+53 | 4.54626599544e+54 | 3.82978785706e+55 |
|       22.22223 |  3.8409053333e+54 | 9.67628136143e+53 | 4.62705235638e+54 | 3.89863959325e+55 |
|  22.3223300901 | 3.90964308189e+54 |  9.7945055861e+53 | 4.70894621033e+54 | 3.96841056778e+55 |
|  22.4224301802 | 3.97929437638e+54 | 9.91371218653e+53 | 4.79195751567e+54 |  4.0391088201e+55 |
|  22.5225302703 | 4.04986716997e+54 | 1.00339059733e+54 |  4.8760962432e+54 | 4.11074242297e+55 |
|  22.6226303604 | 4.12136944867e+54 | 1.01550917413e+54 | 4.96137240461e+54 | 4.18331948243e+55 |
|  22.7227304505 | 4.19380923129e+54 | 1.02772741528e+54 | 5.04779596201e+54 | 4.25684813782e+55 |
|  22.8228305405 | 4.26719456932e+54 | 1.04004584439e+54 | 5.13537696793e+54 | 4.33133656167e+55 |
|  22.9229306306 | 4.34153354725e+54 | 1.05246490172e+54 | 5.22412542136e+54 | 4.40679295997e+55 |
